entity_id	result_ut	valid	rejected	polled	electors	I-AMI	UPF	DNM	SLNF	USP	AACAAKO	SEP	FSP	SLLP	NDF	ULPP	I-AP	JSP	NSH	PNF	UPFA	ONF	NSSP	ULGC
LK-45	1420083240	53886	1940	55826	79093	123	215	39	26	115	56	92	66	161	38856	149	63	41	106	180	13300	184	77	37
LK-5	1420090020	809759	7010	816769	1134002	679	1381	207	146	669	334	337	810	1812	583120	1420	403	198	703	1231	214769	985	419	136
LK-51	1420089900	256586	2580	259166	373982	323	698	108	74	258	157	180	306	882	209422	641	187	89	370	522	41631	441	238	59
LK-52	1420090020	357817	2625	360442	488067	187	356	55	36	197	88	69	234	543	233360	438	117	57	169	446	121027	307	92	39
LK-53	1420085220	195356	1805	197161	271953	169	327	44	36	214	89	88	270	387	140338	341	99	52	164	263	52111	237	89	38
LK-6	1420088160	1445474	13585	1459059	1896361	1062	1276	258	145	727	280	313	771	1130	678675	976	310	297	589	1953	754619	1629	266	198
LK-61	1420087980	1041624	9285	1050909	1333377	682	839	177	102	457	173	196	465	724	476602	637	216	228	441	1374	556868	1138	181	124
LK-62	1420088160	403850	4300	408150	562984	380	437	81	43	270	107	117	306	406	202073	339	94	69	148	579	197751	491	85	74
LK-7	1420089660	780629	6290	786919	1002215	479	714	116	80	417	139	147	660	726	386381	762	188	142	348	1271	386801	977	149	132
LK-71	1420088700	524633	4500	529133	680877	372	548	76	58	288	86	104	324	469	238407	464	129	98	245	901	281161	685	113	105
LK-72	1420089660	255996	1790	257786	321338	107	166	40	22	129	53	43	336	257	147974	298	59	44	103	370	105640	292	36	27
LK-8	1420089840	788186	11320	799506	1003774	884	1313	204	134	773	314	287	742	971	354800	960	338	236	541	1619	421988	1560	355	167
LK-81	1420086840	507070	7871	514941	647628	670	1038	153	106	563	249	244	502	748	249524	723	261	170	383	1052	249243	1052	265	124
LK-82	1420089840	281116	3449	284565	356146	214	275	51	28	210	65	43	240	223	105276	237	77	66	158	567	172745	508	90	43
LK-9	1420089480	1216855	14171	1231026	1512126	1116	1238	287	217	902	373	411	1106	1390	545047	1322	435	334	739	2216	657183	1936	390	213
LK-91	1420089480	680084	7656	687740	831712	588	696	165	130	545	206	230	516	787	292514	750	245	198	492	1379	379053	1217	253	120
LK-92	1420085700	536771	6515	543286	680414	528	542	122	87	357	167	181	590	603	252533	572	190	136	247	837	278130	719	137	93
