entity_id	result_ut	valid	rejected	polled	electors	UPFA	NDF	SLLP	DUNF	UDF	JSP	Ind 1	LF	ONF	NSH	Ind 3	Ind 5	USP	Ind 2	SEP	JP	NA	Ind 4	UNAF	RPP	PNF	ACAKO
EC-22C	1262317380	49674	372	50046	67118	33129	15791	62	127	69	116	84	18	34	28	49	20	26	38	24	8	12	7	6	8	12	6
EC-22D	1262316540	46517	346	46863	62325	29864	15967	49	131	54	99	74	16	40	38	51	15	23	17	27	6	12	6	6	8	8	6
EC-22E	1262319420	60327	434	60761	83066	32335	27039	86	133	91	134	90	34	55	70	47	17	55	34	16	5	20	11	7	19	11	18
EC-22F	1262315700	37543	268	37811	51391	23204	13469	60	177	75	113	95	32	47	39	40	19	39	35	18	19	17	9	6	7	11	12
EC-22G	1262317740	53090	431	53521	69964	31456	20346	99	217	153	161	113	30	68	82	58	58	65	31	32	21	18	23	8	23	18	10
EC-22H	1262318160	53764	458	54222	70448	33145	19819	50	140	92	163	59	11	21	23	49	28	47	20	16	16	9	9	5	18	11	13
EC-22I	1262316420	46145	398	46543	61507	28460	16461	94	164	140	202	107	50	55	56	72	36	56	49	21	30	19	10	11	12	24	16
EC-22P	1262314920	21220	184	21404	21404	14330	6811	4	24	5	4	12	6	4	1	3	1	4	5	2	1	1	1	1	0	0	0
LK-1	1262324160	2981279	24895	3006174	3879965	1746018	1199335	3555	4907	3990	5202	3673	1867	1625	1582	1892	1099	1515	1342	800	487	474	481	355	393	379	308
LK-11	1262324160	1161382	11394	1172776	1541242	614740	533022	1798	1606	1579	1540	1219	1052	680	629	600	548	544	437	338	176	169	154	144	143	136	128
LK-12	1262323800	1165648	8960	1174608	1505363	718716	434506	992	2059	1230	1979	1379	510	524	500	710	303	499	526	238	168	146	173	135	130	123	102
LK-13	1262323260	654249	4541	658790	833360	412562	231807	765	1242	1181	1683	1075	305	421	453	582	248	472	379	224	143	159	154	76	120	120	78
LK-2	1262324220	1361587	17828	1379415	1823252	716193	610609	2363	8049	3976	4359	2522	958	1585	1804	1503	1332	1422	965	718	486	706	513	291	470	422	341
LK-21	1262323920	750786	8700	759486	1001074	406636	329492	1059	2810	1624	1950	1200	462	703	848	711	442	600	523	305	216	295	243	139	192	178	158
LK-22	1262322900	264419	2666	267085	355738	157953	100513	372	1105	623	841	635	157	249	299	340	192	300	174	103	89	117	92	48	86	74	57
LK-23	1262324220	346382	6462	352844	466440	151604	180604	932	4134	1729	1568	687	339	633	657	452	698	522	268	310	181	294	178	104	192	170	126
LK-3	1262323980	1397114	9008	1406122	1814282	910013	465479	1668	3291	1949	4108	2625	568	855	927	1138	458	938	879	336	342	289	292	179	286	293	201
LK-31	1262321760	607621	3765	611386	785663	386971	211633	627	1256	804	1770	1080	239	336	397	549	168	384	435	157	115	126	124	89	120	140	101
LK-32	1262320860	451929	3025	454954	594628	296155	148510	597	1088	736	1381	829	199	283	313	329	154	345	284	112	125	82	81	56	107	97	66
LK-33	1262323980	337564	2218	339782	433991	226887	105336	444	947	409	957	716	130	236	217	260	136	209	160	67	102	81	87	34	59	56	34
LK-4	1262317260	283621	9191	292812	1285376	72894	184244	872	5391	4116	1653	850	1345	970	1026	798	3754	1052	567	790	377	542	569	650	416	432	313
LK-42	1262315280	28717	455	29172	85322	6656	20157	44	923	242	73	65	42	71	74	28	105	49	16	45	13	22	13	35	17	10	17
LK-43	1262317260	48163	1335	49498	112924	13742	31796	104	569	381	183	125	136	122	127	68	308	115	39	58	30	52	46	71	27	41	23
LK-44	1262313600	9367	258	9625	68729	1726	6882	43	237	99	28	35	16	33	53	10	41	27	16	12	18	27	15	17	13	10	9
LK-45	1262313420	6280	286	6566	90811	991	4717	23	199	45	28	27	23	32	26	10	42	19	8	19	11	13	10	12	8	8	9
LK-5	1262323860	680525	9740	690265	1991381	272327	386823	1090	5401	3532	1564	1513	606	1228	1205	619	1304	754	365	349	214	377	387	207	237	243	180
LK-51	1262323680	211891	4396	216287	667353	55663	146057	468	3016	1666	612	484	366	541	645	232	633	284	125	185	102	201	172	107	121	124	87
LK-52	1262323860	306562	2912	309474	841672	146912	153105	404	1270	1101	641	683	115	447	308	240	369	223	135	84	70	94	139	45	58	71	48
LK-53	1262318580	162072	2432	164504	482356	69752	87661	218	1115	765	311	346	125	240	252	147	302	247	105	80	42	82	76	55	58	48	45
LK-6	1262321940	1268006	9530	1277536	1734072	784765	463827	1302	4527	1499	2710	2339	552	799	867	1098	434	736	703	322	233	290	252	151	190	242	168
LK-61	1262321880	923893	6644	930537	1230966	582784	327594	922	3112	912	1943	1669	399	553	604	813	302	492	475	220	171	203	185	99	146	177	118
LK-62	1262321940	344113	2886	346999	503106	201981	136233	380	1415	587	767	670	153	246	263	285	132	244	228	102	62	87	67	52	44	65	50
LK-7	1262323500	673213	5257	678470	910769	443337	218787	707	2540	713	1745	1622	254	467	526	612	200	352	327	164	134	144	132	81	130	131	108
LK-71	1262322600	450038	3785	453823	616186	298448	143761	488	1921	477	1268	1115	183	295	325	417	146	237	254	110	102	82	87	51	101	93	77
LK-72	1262323500	223175	1472	224647	294583	144889	75026	219	619	236	477	507	71	172	201	195	54	115	73	54	32	62	45	30	29	38	31
LK-8	1262323440	675878	8355	684233	911744	396014	265638	1097	1976	1554	2088	1399	367	840	771	711	557	664	374	309	209	336	233	144	231	217	149
LK-81	1262320080	446294	6083	452377	598190	237579	198835	733	1292	1212	1214	795	248	669	580	525	450	506	265	246	153	263	165	104	179	164	117
LK-82	1262323440	229584	2272	231856	313554	158435	66803	364	684	342	874	604	119	171	191	186	107	158	109	63	56	73	68	40	52	53	32
LK-9	1262323560	1072390	8034	1080424	1383746	674373	378443	1566	3144	1961	2837	2204	538	984	976	1010	524	919	609	407	288	365	275	202	265	261	239
LK-91	1262323560	592426	4430	596856	748404	377734	203566	905	1767	1126	1525	1383	291	589	552	534	278	528	300	216	160	231	176	132	143	150	140
LK-92	1262319960	479964	3604	483568	635342	296639	174877	661	1377	835	1312	821	247	395	424	476	246	391	309	191	128	134	99	70	122	111	99
