entity_id	result_ut	valid	rejected	polled	electors	IND01	IND02	IND03	IND04	DUNF	OWORS	IND05	IND06	USP	RJA	DNM	NMPP	FSP	JSWP	IND07	OPPP	IND08	IND09	NDF	JSP	NSSP	NSU	IND10	IND11	SLPP	NUA	SLLP	IND12	IND13	SPSL	IND14	SEP	IND15	ONF	NPP
EC-15J	1573966793.002	77947	666	78613	92781	22	43	27	15	116	11	5	2	21	53	11	2506	27	111	24	11	42	77	27041	44	5	17	8	118	47006	53	17	13	17	196	12	8	5	14	249
EC-15K	1573965714.21	63529	472	64001	75819	17	29	14	8	101	3	5	4	7	49	10	2085	30	106	25	8	24	43	23458	36	14	9	5	88	36836	48	22	5	28	151	12	9	4	17	219
EC-15L	1573965650.589	75323	621	75944	90702	21	40	8	9	87	6	6	3	10	38	10	3030	15	119	25	19	24	43	29021	42	5	16	6	98	41940	44	26	9	6	134	3	10	6	13	431
EC-15M	1573972461.453	76100	581	76681	91431	25	76	19	14	161	6	6	4	16	54	27	2468	13	132	30	15	38	73	30124	56	6	11	9	142	41961	44	37	10	36	190	13	15	8	29	232
EC-15N	1573970188.073	57057	540	57597	69356	20	44	29	11	124	10	13	3	16	85	27	2078	13	121	36	13	37	47	21489	52	9	16	10	130	32074	53	26	19	24	173	27	14	16	39	159
EC-15P	1573956851.768	73966	890	74856	75956	41	30	8	3	31	2	3	2	11	23	9	4400	29	88	7	4	11	11	23432	28	1	5	4	23	45193	18	7	6	6	47	8	7	2	3	463
EC-16	1573969702.078	453976	4478	458454	599042	219	397	119	65	1024	51	49	30	123	392	104	12912	238	945	242	70	287	494	199356	377	51	97	103	968	230760	327	189	88	153	1089	87	101	52	213	2204
EC-16A	1573969199.406	107155	1283	108438	142408	66	163	46	17	390	16	24	7	40	63	27	1896	29	186	99	24	142	200	76385	157	19	34	41	336	26118	53	59	28	39	156	31	26	16	65	157
EC-16B	1573964359.449	95148	643	95791	116053	40	76	27	19	226	15	10	9	28	115	24	2183	68	236	40	14	51	71	29842	60	9	13	11	213	60963	112	32	27	39	326	17	14	8	36	174
EC-16C	1573969702.078	93885	984	94869	122963	39	79	17	9	193	12	8	7	26	85	17	2977	45	201	42	16	40	107	37512	71	10	21	23	158	51233	61	50	11	34	252	16	18	14	54	427
EC-16D	1573968610.909	66931	668	67599	94055	30	40	12	11	110	6	3	2	16	55	15	2190	30	128	28	5	16	49	24308	43	2	14	14	113	38832	48	22	6	15	140	11	27	5	30	555
EC-16E	1573968377.572	77530	714	78244	109810	37	35	16	9	94	2	4	5	13	72	21	2902	63	179	29	9	37	64	26624	45	9	15	9	128	45969	45	26	15	26	204	12	14	9	28	761
EC-16P	1573953075.18	13327	186	13513	13753	7	4	1	0	11	0	0	0	0	2	0	764	3	15	4	2	1	3	4685	1	2	0	5	20	7645	8	0	1	0	11	0	2	0	0	130
EC-17	1573968766.134	580346	4916	585262	682450	262	409	168	126	1635	81	98	42	135	629	173	22879	266	1207	313	87	321	432	202348	427	73	150	83	1180	342223	475	207	121	179	1558	116	124	74	323	1422
EC-17A	1573961115.281	70006	537	70543	82173	23	49	26	17	231	14	10	1	12	88	31	2619	28	177	40	11	35	57	23423	42	12	27	14	177	42287	69	28	17	19	216	17	16	15	41	117
EC-17B	1573965507.379	67438	484	67922	79155	19	40	17	12	206	14	8	7	20	64	23	1967	19	145	45	12	47	63	27274	71	8	13	15	146	36698	57	30	13	19	196	13	9	7	45	96
EC-17C	1573968766.134	81879	836	82715	97314	33	42	23	12	207	4	15	6	17	63	22	4567	54	155	35	9	24	53	25910	44	6	17	7	111	49708	69	19	22	25	216	12	21	9	33	309
EC-17D	1573966851.679	86090	683	86773	102705	41	70	25	16	251	10	12	8	19	93	28	2789	25	191	53	5	48	72	30301	65	9	24	11	167	51091	70	35	15	32	248	19	22	7	51	167
EC-17E	1573968131.22	103960	773	104733	123938	50	93	36	39	276	16	21	2	27	143	33	4023	49	229	53	14	57	77	34215	65	15	26	12	251	63306	85	38	26	26	334	23	20	14	55	211
EC-17F	1573968562.41	53723	461	54184	64810	33	42	23	12	186	8	11	2	13	74	17	2245	46	115	35	12	41	34	19320	48	11	10	11	120	30815	48	26	9	19	134	10	13	11	45	124
EC-17G	1573964043.548	69481	493	69974	83254	31	54	14	12	219	11	13	9	21	74	13	1929	28	128	41	21	62	63	26538	75	10	29	11	166	39361	60	23	14	28	183	18	19	10	43	150
EC-17P	1573950695.979	47769	649	48418	49101	32	19	4	6	59	4	8	7	6	30	6	2740	17	67	11	3	7	13	15367	17	2	4	2	42	28957	17	8	5	11	31	4	4	1	10	248
EC-18	1573965828.216	277924	2563	280487	326443	108	177	48	40	547	27	25	16	35	212	76	12284	426	526	116	43	128	249	112473	179	27	66	45	641	147340	242	87	58	65	570	58	36	36	116	802
EC-18A	1573960656.134	70164	561	70725	83307	33	52	11	15	147	3	4	5	6	78	20	3271	177	161	32	9	27	66	24076	40	9	21	10	151	41151	55	32	13	24	185	17	9	8	32	214
EC-18B	1573961775.648	66144	417	66561	77499	13	22	9	4	98	2	5	3	4	45	10	2734	67	90	21	11	33	58	28324	45	3	16	12	136	34022	54	13	9	12	100	9	10	4	22	124
EC-18C	1573965828.216	124950	1334	126284	148401	50	93	27	20	287	21	13	7	24	87	45	5045	150	253	58	20	67	124	54238	88	14	28	21	340	62882	125	40	32	28	269	32	16	23	62	321
EC-18P	1573945318.481	16666	251	16917	17236	12	10	1	1	15	1	3	1	1	2	1	1234	32	22	5	3	1	1	5835	6	1	1	2	14	9285	8	2	4	1	16	0	1	1	0	143
EC-19	1573973647.154	560345	6978	567323	657766	473	928	248	172	1702	137	123	55	272	704	246	14806	395	1257	826	168	1098	680	251706	634	109	210	212	1357	276211	449	466	195	322	1397	218	199	159	656	1555
EC-19A	1573967456.525	83620	728	84348	97450	59	69	45	29	258	27	30	8	25	124	33	2534	54	280	83	19	97	87	32345	89	9	22	12	190	46267	93	40	38	51	228	33	26	27	94	195
EC-19B	1573958808.315	43062	521	43583	50956	39	73	21	20	126	9	12	2	28	80	21	795	38	156	80	12	90	55	16227	53	15	16	17	105	24401	38	54	24	30	165	17	15	16	84	128
EC-19C	1573973647.154	51870	979	52849	63210	73	148	31	15	230	15	16	9	40	68	41	714	20	128	124	31	227	94	28845	102	22	40	59	180	20038	49	68	30	35	133	28	25	23	85	84
EC-19D	1573959472.48	45607	623	46230	54289	36	55	12	9	88	9	1	3	15	39	21	1522	41	78	35	14	63	34	19912	39	6	15	19	88	23029	32	23	6	22	88	11	6	9	39	188
EC-19E	1573965267.896	58547	824	59371	69776	49	132	22	24	199	14	18	7	49	77	30	1379	32	119	125	24	167	92	28502	77	8	30	33	188	26485	46	64	21	46	147	33	43	23	86	156
EC-19F	1573952222.966	52757	506	53263	61637	40	80	29	23	208	17	13	4	23	81	24	1207	57	90	88	10	99	92	22787	61	8	21	16	137	27028	37	47	14	35	184	19	11	10	51	106
EC-19G	1573969515.128	63701	632	64333	74786	36	89	27	10	164	6	7	6	22	68	26	1671	46	100	87	14	87	82	29673	63	9	16	11	166	30670	46	37	22	30	161	22	11	11	52	153
EC-19H	1573965944.669	70774	770	71544	83693	53	112	29	29	188	24	14	8	32	105	25	1915	34	189	87	19	118	63	32242	67	14	19	16	155	34528	62	58	16	36	161	24	35	18	72	207
EC-19I	1573965323.953	54598	784	55382	65289	64	161	29	10	221	14	7	7	35	57	21	1023	42	86	113	21	149	78	29641	73	17	29	27	128	21993	35	72	22	33	114	29	24	20	90	113
EC-19P	1573943721.942	35809	611	36420	36680	24	9	3	3	20	2	5	1	3	5	4	2046	31	31	4	4	1	3	11532	10	1	2	2	20	21772	11	3	2	4	16	2	3	2	3	225
EC-20	1573964429.555	319604	3000	322604	366524	136	216	88	67	520	44	50	18	72	351	104	11235	289	798	204	56	181	201	92539	207	29	67	57	749	208814	276	139	96	145	917	69	65	33	185	587
EC-20A	1573964429.555	70340	573	70913	81662	32	61	13	16	107	12	16	9	18	73	38	2264	89	222	50	15	60	50	21914	45	6	19	19	199	44351	78	33	31	41	224	21	10	14	59	131
EC-20B	1573964248.573	92759	1059	93818	108090	39	73	24	16	188	6	14	6	22	110	24	2537	58	216	82	25	66	69	28688	89	13	29	26	248	59360	70	56	28	42	275	24	24	9	58	145
EC-20C	1573964095.539	134818	1034	135852	154442	57	75	49	31	215	24	20	3	32	165	41	5094	132	337	69	16	54	79	35557	61	9	18	12	281	91349	125	50	36	61	403	24	31	10	66	232
EC-20P	1573940618.026	21687	334	22021	22330	8	7	2	4	10	2	0	0	0	3	1	1340	10	23	3	0	1	3	6380	12	1	1	0	21	13754	3	0	1	1	15	0	0	0	2	79
EC-21	1573971774.546	747671	5853	753524	864979	383	890	196	135	1332	69	87	44	175	809	239	18887	336	1279	570	128	570	797	264503	671	116	201	124	1556	448044	638	386	154	273	1662	208	191	90	411	1517
EC-21A	1573961466.702	83441	587	84028	97311	48	95	14	14	111	10	8	4	12	76	25	1946	40	140	60	14	49	63	28855	65	13	12	12	160	50993	59	33	19	30	202	29	22	7	26	175
EC-21B	1573960753.613	106986	818	107804	123967	34	105	27	15	180	6	15	6	20	121	30	2733	43	138	59	12	69	90	37400	91	15	25	16	197	64809	80	30	20	27	223	17	25	13	58	237
EC-21C	1573965092.462	76329	606	76935	88540	52	112	20	17	119	13	8	3	17	67	20	1315	20	108	81	21	82	126	31845	87	10	30	11	160	41469	61	45	21	25	146	35	16	11	36	120
EC-21D	1573967651.192	94147	741	94888	109756	62	154	47	16	217	7	11	2	27	137	37	2160	43	179	87	25	114	124	36421	77	12	19	20	220	53120	84	58	18	46	253	37	32	9	66	206
EC-21E	1573966004.746	90738	757	91495	106025	53	114	13	15	181	15	8	7	30	98	29	1743	39	166	80	17	73	136	38008	101	16	29	12	217	48867	87	61	21	32	200	26	18	10	66	150
EC-21F	1573967723.968	87071	723	87794	99796	53	151	25	25	199	5	11	4	28	110	30	1344	31	162	102	16	79	98	32691	95	21	30	28	200	50806	90	69	23	40	211	31	30	16	57	160
EC-21G	1573967586.257	57224	415	57639	65310	22	57	11	9	105	5	10	4	15	75	26	1221	42	89	40	3	40	57	19291	61	9	22	6	133	35399	49	37	12	25	173	12	18	7	39	100
EC-21H	1573971774.546	122730	828	123558	144558	44	96	38	24	213	8	15	13	24	116	40	4747	62	274	60	17	62	100	32052	84	19	33	18	259	83520	123	53	20	47	240	17	28	17	61	186
EC-21P	1573941104.947	29005	378	29383	29716	15	6	1	0	7	0	1	1	2	9	2	1678	16	23	1	3	2	3	7940	10	1	1	1	10	19061	5	0	0	1	14	4	2	0	2	183
EC-22	1573983344.677	575831	5152	580983	676440	318	469	148	111	926	78	76	55	149	522	185	15043	564	788	364	92	495	564	228032	508	64	162	128	978	320484	422	215	103	201	1282	127	116	83	268	1711
EC-22A	1573974805.101	73240	593	73833	86351	35	51	17	21	88	11	6	14	14	61	17	2164	53	87	26	11	46	55	28097	44	6	14	14	106	41632	64	20	6	25	162	12	17	8	23	213
EC-22B	1573970593.932	55480	472	55952	65331	34	54	10	11	85	6	6	2	11	64	13	1405	82	70	38	7	50	54	20475	56	5	17	10	82	32376	33	20	11	22	138	14	11	6	28	174
EC-22C	1573974062.978	58694	625	59319	69473	38	37	10	7	88	6	8	4	18	58	12	2032	84	83	22	5	26	37	19341	33	4	18	12	83	36109	27	17	18	14	129	8	12	9	22	263
EC-22D	1573972832.414	53584	519	54103	63798	29	49	18	7	115	7	12	6	20	51	14	1828	43	72	37	2	26	40	18657	40	8	15	13	89	31902	38	14	10	13	154	10	9	7	27	202
EC-22E	1573974896.462	75799	561	76360	91492	40	58	20	15	123	15	8	6	19	65	18	1856	59	77	31	13	57	83	37967	71	12	15	7	133	34443	41	35	10	27	178	29	12	6	39	211
EC-22F	1573983344.677	43082	288	43370	50780	26	34	11	10	96	7	3	6	11	45	8	752	66	60	23	4	42	39	17075	32	4	9	12	80	24294	35	14	11	25	120	8	9	6	24	81
EC-22G	1573974951.92	63447	659	64106	74836	30	65	19	12	125	6	13	7	15	61	30	990	25	96	65	17	99	80	28215	93	8	24	26	145	32753	53	37	16	26	119	17	14	13	36	97
EC-22H	1573972515.698	62981	570	63551	74386	33	44	16	16	89	7	7	2	19	63	22	1403	52	93	42	7	45	75	24604	56	3	22	15	123	35714	51	22	8	21	125	9	14	11	28	120
EC-22I	1573974562.295	57811	471	58282	67424	36	66	27	12	106	9	9	7	18	52	48	1116	61	122	73	22	101	96	23733	67	12	26	16	117	31392	69	36	12	25	143	17	14	15	39	97
EC-22P	1573957878.569	31713	394	32107	32569	17	11	0	0	11	4	4	1	4	2	3	1497	39	28	7	4	3	5	9868	16	2	2	3	20	19869	11	0	1	3	14	3	4	2	2	253
LK-1	1573983283.518	3623740	37931	3661671	4377375	1419	2436	726	492	3876	345	374	156	618	2220	697	143244	2168	7414	1384	327	1136	2338	1338805	2458	267	529	660	4902	2066503	2178	923	467	685	6690	556	662	269	996	24820
LK-11	1573983283.518	1368177	15333	1383510	1670403	468	725	221	141	1367	98	121	52	207	675	198	53803	589	2317	420	120	343	911	559921	974	105	167	335	1660	727713	741	327	149	165	2002	204	246	92	265	10335
LK-12	1573978566.117	1443800	15751	1459551	1751892	584	971	292	209	1553	143	163	65	231	908	281	61760	840	3586	519	103	412	840	494671	928	87	190	211	1802	855870	847	323	182	267	2786	207	223	104	370	11272
LK-13	1573971898.263	811763	6847	818610	955080	367	740	213	142	956	104	90	39	180	637	218	27681	739	1511	445	104	381	587	284213	556	75	172	114	1440	482920	590	273	136	253	1902	145	193	73	361	3213
LK-2	1573979624.426	1750960	19427	1770387	2082384	1092	3144	576	426	5064	320	280	138	635	2060	619	38320	784	3253	2002	394	2333	2317	829559	1981	340	559	620	3717	835146	1243	1195	478	707	3623	654	434	367	1323	5257
LK-21	1573979624.426	934875	9020	943895	1111860	572	1322	260	205	2109	139	120	74	264	895	274	23539	456	1639	797	165	815	991	417355	908	146	236	204	1733	471502	577	490	176	298	1824	266	181	147	577	3619
LK-22	1573978350.937	339221	3252	342473	401496	170	459	114	77	825	52	52	17	90	422	97	8890	148	645	267	65	301	360	134291	341	48	106	67	724	187821	261	159	56	113	850	92	80	50	212	899
LK-23	1573970069.064	476864	7155	484019	569028	350	1363	202	144	2130	129	108	47	281	743	248	5891	180	969	938	164	1217	966	277913	732	146	217	349	1260	175823	405	546	246	296	949	296	173	170	534	739
LK-3	1573972035.503	1703600	12839	1716439	1997152	554	1133	476	296	1869	145	203	98	301	1593	539	76740	1423	3150	824	227	665	1147	475333	982	170	336	257	3144	1119433	1411	457	272	638	3597	319	367	181	616	4704
LK-31	1573963522.876	725358	5878	731236	858749	251	515	202	130	762	63	85	51	153	700	246	27006	879	1421	407	120	296	471	217401	408	87	155	110	1216	466148	592	189	121	288	1666	155	172	80	270	2542
LK-32	1573972035.503	556868	3782	560650	652417	187	375	134	95	538	43	64	29	99	508	164	23439	294	947	242	59	212	381	149026	339	42	103	80	1111	374481	463	160	85	166	1086	79	126	58	217	1436
LK-33	1573969982.36	421374	3179	424553	485986	116	243	140	71	569	39	54	18	49	385	129	26295	250	782	175	48	157	295	108906	235	41	78	67	817	278804	356	108	66	184	845	85	69	43	129	726
LK-4	1573958710.886	585691	14545	600236	847103	1656	3056	690	608	9336	537	1894	204	867	711	688	2531	396	1187	1310	392	1436	1737	487461	1525	313	498	8140	1499	49366	499	1181	428	637	947	965	400	443	1207	946
LK-42	1573951411.876	63265	837	64102	85394	79	150	41	27	695	36	62	13	59	71	39	180	34	161	109	24	121	143	53602	130	26	24	378	150	6435	39	61	35	42	94	57	19	13	59	57
LK-43	1573958710.886	83701	1331	85032	113193	140	234	60	58	901	41	89	22	71	59	64	667	44	135	145	38	135	210	65141	140	48	66	522	191	13715	67	97	41	47	133	87	37	41	139	76
LK-44	1573953263.658	55217	979	56196	72538	100	188	42	42	902	35	98	7	51	46	59	162	30	78	94	30	139	185	47594	143	32	33	251	116	4252	30	91	16	52	46	75	17	30	82	69
LK-45	1573952081.99	63813	1782	65595	86670	195	406	74	57	1041	71	165	14	97	70	73	197	37	92	126	56	152	230	55585	205	39	41	526	129	3238	46	125	48	130	95	90	56	67	139	101
LK-5	1573968880.969	946201	9248	955449	1183205	566	1287	246	186	4483	195	216	65	349	597	284	13494	568	1474	855	221	1061	1877	665163	1211	166	285	1658	16387	227653	502	615	288	339	1551	584	148	163	630	834
LK-51	1573965390.449	303221	4258	307479	398301	256	523	91	78	2363	103	114	20	161	263	129	2304	85	690	380	103	464	970	238649	512	73	136	800	13228	38460	163	317	144	147	480	327	52	63	302	271
LK-52	1573968880.969	411570	3158	414728	503790	173	427	75	56	1019	52	51	18	89	196	74	7460	219	517	267	60	328	544	259673	425	54	79	369	2214	135058	223	156	87	105	730	123	51	52	182	364
LK-53	1573961052.434	231410	1832	233242	281114	137	337	80	52	1101	40	51	27	99	138	81	3730	264	267	208	58	269	363	166841	274	39	70	489	945	54135	116	142	57	87	341	134	45	48	146	199
LK-6	1573974179.912	1580586	13000	1593586	1930747	644	1140	377	244	3247	161	173	85	336	1297	368	49090	604	2840	699	233	795	1302	616317	1096	167	317	272	2704	883038	1162	576	264	445	3778	272	272	169	602	5500
LK-61	1573974179.912	1126610	8522	1135132	1331705	425	743	258	179	2223	110	124	55	213	905	264	36178	366	1895	457	163	508	808	416961	719	116	220	169	1736	652278	835	387	176	292	2689	185	171	117	389	3296
LK-62	1573969702.078	453976	4478	458454	599042	219	397	119	65	1024	51	49	30	123	392	104	12912	238	945	242	70	287	494	199356	377	51	97	103	968	230760	327	189	88	153	1089	87	101	52	213	2204
LK-7	1573968766.134	858270	7479	865749	1008893	370	586	216	166	2182	108	123	58	170	841	249	35163	692	1733	429	130	449	681	314821	606	100	216	128	1821	489563	717	294	179	244	2128	174	160	110	439	2224
LK-71	1573968766.134	580346	4916	585262	682450	262	409	168	126	1635	81	98	42	135	629	173	22879	266	1207	313	87	321	432	202348	427	73	150	83	1180	342223	475	207	121	179	1558	116	124	74	323	1422
LK-72	1573965828.216	277924	2563	280487	326443	108	177	48	40	547	27	25	16	35	212	76	12284	426	526	116	43	128	249	112473	179	27	66	45	641	147340	242	87	58	65	570	58	36	36	116	802
LK-8	1573973647.154	879949	9978	889927	1024290	609	1144	336	239	2222	181	173	73	344	1055	350	26041	684	2055	1030	224	1279	881	344245	841	138	277	269	2106	485025	725	605	291	467	2314	287	264	192	841	2142
LK-81	1573973647.154	560345	6978	567323	657766	473	928	248	172	1702	137	123	55	272	704	246	14806	395	1257	826	168	1098	680	251706	634	109	210	212	1357	276211	449	466	195	322	1397	218	199	159	656	1555
LK-82	1573964429.555	319604	3000	322604	366524	136	216	88	67	520	44	50	18	72	351	104	11235	289	798	204	56	181	201	92539	207	29	67	57	749	208814	276	139	96	145	917	69	65	33	185	587
LK-9	1573983344.677	1323502	11005	1334507	1541419	701	1359	344	246	2258	147	163	99	324	1331	424	33930	900	2067	934	220	1065	1361	492535	1179	180	363	252	2534	768528	1060	601	257	474	2944	335	307	173	679	3228
LK-91	1573971774.546	747671	5853	753524	864979	383	890	196	135	1332	69	87	44	175	809	239	18887	336	1279	570	128	570	797	264503	671	116	201	124	1556	448044	638	386	154	273	1662	208	191	90	411	1517
LK-92	1573983344.677	575831	5152	580983	676440	318	469	148	111	926	78	76	55	149	522	185	15043	564	788	364	92	495	564	228032	508	64	162	128	978	320484	422	215	103	201	1282	127	116	83	268	1711
